"Country Name","Country Code","Indicator Name","Indicator Code","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Developing Countries","DEV","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.52598455179","4.98308317595","5.69124465613","7.74776589285","6.78240767331","8.00200760998","8.65004114659","6.04144761011","3.66592890664","7.96171469361","6.34056679408","5.12687975282","5.32320792305","4.89994677567","4.26094114008","4.76347378275","5.28566938649","5.34219222677",
"East Asia & Pacific","EAP","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.68407251808","7.84447695387","8.71669320898","8.89401779676","9.66058464155","10.73548944613","12.13719387496","8.54889269379","7.55265653333","9.77802225574","8.43869437603","7.43343564354","7.14666045815","6.76533264412","6.43312876915","6.33932251208","6.16310376375","6.21186027673",
"Euro Area","E19","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.11559078888","0.95339208131","0.67796866431","2.03880242766","1.76562892633","3.34887800462","3.01210801605","0.34979813283","-4.5201565005","1.98057272613","1.68276993231","-0.75492277186","-0.23240765042","0.87519671331","1.4609191847","1.70511526902","1.66535418505","1.56039271604",
"Europe & Central Asia","ECA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.43297980823","6.13611535561","6.27173004136","9.37594780753","7.58507560932","7.98872474859","6.74501280299","3.41813488887","-4.44208424609","6.29407905315","6.45535022227","2.17797805247","3.91154612692","2.29918558477","2.12302950024","2.98614307174","3.46935616083","3.50459476227",
"High Income Countries","HIY","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.57055279789","1.48446127205","2.24593747313","3.43788217605","2.95329381551","3.34399898202","2.96482010534","0.49693426101","-3.50762855886","2.99232404403","1.98543379736","1.40882041734","1.24383282135","1.67129987354","1.64805427374","2.05745363701","2.06228412548","2.05491114025",
"Latin America & Caribbean","LAC","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.78066412298","2.23090952761","1.68454328222","5.10727384072","3.78949846022","4.76782961926","5.35480149579","4.004457055","-1.16294276971","6.40724557435","4.34520814961","2.93277512507","3.00284809773","1.46766335252","-0.72749847374","0.10994971474","2.29548196402","2.4710458474",
"Middle East & N. Africa","MNA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.91370219701","4.09659530748","4.09861138856","6.04882216661","1.99238590744","5.50511543144","5.69109852194","3.38635579761","3.99444632941","5.01528817812","0.10080670596","1.4135610099","0.57007180336","2.48017731676","2.4796792662","5.06986920517","5.82598392047","5.11148433516",
"South Asia","SAS","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.37338612047","3.96362969193","7.44501931091","7.67783951634","7.78460837619","8.55789888425","8.55456115063","5.06108044976","6.66455902319","8.739000006","7.0412912964","5.50502584024","6.1566672673","6.84467794295","6.98539440717","7.32525031297","7.51576858808","7.54343377207",
"Sub-Saharan Africa","SST","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.72293480763","3.64016764175","4.92811916625","11.46361872053","5.49243811494","6.95935486347","7.01718379139","6.40993923642","3.0341578739","5.65291234034","4.20621514313","3.60792933318","4.85268316582","4.60862026237","3.40829665965","4.17539109171","4.6732820827","4.7249494807",
"World (WBG members)","WLT","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.9569236155","2.1863879812","2.95608364564","4.3498419668","3.78990268432","4.39106331948","4.28700549424","1.84031270999","-1.69783249635","4.31444896776","3.18464592423","2.46391802959","2.43154903399","2.63786315238","2.44751856713","2.90006919522","3.08417316869","3.11932423362",
"Afghanistan","AFG","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","20.06407524379","16.71113961695","14.31837583953","9.43875753556","14.51571610911","11.18704253727","11.13201428897","3.4","20.4","8.4","6.1","14.4","2","1.3","1.9","3.1","3.9","5",
"Albania","ALB","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.99999998459","2.90000000002","5.70000000195","5.90000001342","5.49991193261","5.00001021453","5.90010389631","7.53629898273","3.35423931224","3.70690567185","2.54535948879","1.62369860075","1.41742327835","2.02","2.7","3.4","3.5","3.5",
"Algeria","DZA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.61252374169","5.6","7.2","4.3","5.98499149899","1.69999999833","3.39999999839","2.4","1.59998","3.60017","2.9","3.4","2.8","3.8","2.8","3.9","4","3.8",
"Angola","AGO","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.22096515556","13.82179251229","5.24756962371","10.87946505939","18.26147368436","20.73512488279","22.59305429914","13.81714580876","2.41286969254","3.40765479392","3.9185969858","5.15544054479","6.80005848161","3.90126512803","3.03777153913","3.30604574519","3.81676217754","3.83120900815",
"Antigua and Barbuda","ATG","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","-3.19424189289","2.92425143016","5.9136314247","5.28642014861","6.08322843204","13.37640018502","9.49894448016","0.07111102053","-12.03601505762","-7.14299133491","-1.79343560355","4.01954183888","-0.07136385069","3.22150523703","2.0111","2.42237","2.73491","2.73491",
"Argentina","ARG","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","-4.40883969596","-10.89448481149","8.83704077567","9.02957332126","9.22632109022","8.37524820596","7.96557280921","3.07494495447","0.05002371657","9.45157751053","8.38645078019","0.80176087292","2.88535114003","0.45360449715","1.65975249135","0.66925939221","1.92679722135","2.99640782606",
"Armenia","ARM","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","9.55664149553","13.18630053207","14.04079505596","10.467841864","13.86571124982","13.19800351548","13.74920195862","6.90000000168","-14.14998864009","2.19999999915","4.69999999862","7.20000000328","3.3","3.5","2.5","2.2","2.8","3",
"Australia","AUS","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.57446302925","3.99657253225","3.02083640856","4.03579461084","3.21423652701","2.65455665871","4.51993023355","2.6711075837","1.57466788823","2.25007624805","2.72170486473","3.60047368678","2.44","2.5","2.187","2.5","2.75","3",
"Austria","AUT","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.35051204279","1.65586707198","0.7561487215","2.70572835577","2.14071809148","3.35082544397","3.62147745664","1.54729405304","-3.79909968911","1.88011765941","3.07142581677","0.88384619702","0.22802138137","0.30072758855","0.7","1.5","1.6","1.5",
"Azerbaijan","AZE","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","9.9","10.59999920157","11.20000023715","10.2000003983","26.40000092886","34.49999951029","25.04900029167","10.77242179826","9.41065228851","4.85433866348","0.06592276427","2.2000003027","5.79667752251","2.82088864695","1.96641774285","0.77256562998","1.20614829112","2.66505671656",
"Bahamas","BHS","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.62562712099","2.70462951253","-1.26474462879","0.88288423258","3.39529266954","2.51686384101","1.44652221531","-2.32393724789","-4.17525917523","1.53877885334","0.61290259575","2.21731297852","0.02203019656","1.02278610479","2.1069","2","1.7","1.7",
"Bahrain","BHR","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.4909481083","3.34855066794","6.29644197869","6.9809605943","6.76899787107","6.467000122","8.2939604476","6.24183648157","2.54051511882","4.33677626417","2.10028971297","3.58870457136","5.40863527456","4.48594246356","2.5","2.7","2.7","2.8",
"Bangladesh","BGD","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.83317993998","4.73956739916","5.23950811486","6.53594648046","6.67193608756","7.05859181444","6.01377039377","5.04512571577","5.57180324288","6.46438494528","6.52145155903","6.01361059194","6.11620962698","6.45460490344","6.5","6.7","6.8","6.8",
"Barbados","BRB","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","-2.36733875013","0.79112298366","2.17125382263","1.40676444178","3.96497441952","5.66859089619","1.76428443489","0.39602217724","-4.03225806452","0.2557544757","0.75619533528","0.28031467583","-0.03606853021","0.20746887967","0.49285","1.37689","2.03192","2.03192",
"Belarus","BLR","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.72530600626","5.04526731762","7.04319267516","11.44974292701","9.4","10","8.60000000014","10.2000000001","0.20000000004","7.74078121556","5.543711461","1.73139122339","1.07360080128","1.58780161919","-3.4656","-0.5","0.9643","0.9643",
"Belgium","BEL","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.91253087396","1.55927850589","0.88891131366","3.43341452795","1.90361068843","2.63084446032","2.99145531582","0.95137755668","-2.61615361075","2.50057075326","1.62751392073","0.08972864819","0.28517404118","1.0588480083","1.30231","1.52313","1.613","1.51321",
"Belize","BLZ","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","5.01566299906","5.11855944292","9.32924870285","4.64808729598","2.57800880891","4.58160036995","1.10558612732","3.22910131622","0.71325072826","3.32387112432","2.10395080383","3.82474878288","1.52567527319","3.57303649821","3.00922903329","2.49306632603","2.60014449846","2.82529442974",
"Benin","BEN","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.24841054712","4.42111434289","3.88250834528","3.11985710404","2.86523714807","3.75215448367","4.62639646794","5.01463907359","2.66322313343","2.61148673016","3.2637184167","5.3958902958","5.64014996802","5.36909764911","5.70722034012","5.30843582569","5.07328399991","5.08616723541",
"Bhutan","BTN","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.74","9.516","9.118","6.748","6.527","6.981","12.571","10.752","5.722","9.327","10.069","3.6","3.9","6.3","6.8","7.2","5.6","6",
"Bolivia","BOL","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.68379903413","2.48556581528","2.71133983215","4.17329556102","4.42143309991","4.79700886917","4.56438426888","6.14849787462","3.35699957431","4.12672259106","5.17393042081","5.10785175371","6.84246673252","5.48710621742","3.97650760562","3.51440812276","3.40748507467","3.39827152907",
"Bosnia and Herzegovina","BIH","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.4","5.3","4","6.1","5","6.2","6.838","5.42","-2.91","0.8","1","-1.2","2.5","0.8","1.9","2.3","3.1","3.5",
"Botswana","BWA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.25057386672","6.06953086765","4.62589479192","2.70582173664","4.55664700946","7.9595321838","8.68234108778","6.24530386391","-7.65216979347","8.56325545505","6.04854805058","4.83138826935","9.32243504134","4.42106355302","2.99366823069","4.01982110191","4.16222717827","4.16311517318",
"Brazil","BRA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.29223088924","3.0422472043","1.23592751362","5.6475607437","3.73922424969","4.03149091584","6.09789558426","5.07072294422","-0.06593279913","7.52412698686","3.92646803852","1.88597297204","3.00217591607","0.1257007396","-3.74246369205","-2.46141191392","1.37253320223","1.53200002617",
"Bulgaria","BGR","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.24807324394","6.01797843953","5.07752650029","6.55560421972","9.03343842151","6.75326038334","7.67520952736","5.64705060609","-4.21971854548","0.05452003593","1.58403043375","0.23710002636","1.28184011165","1.54882922665","2.93719446077","2.16838145005","2.68509454084","2.68423170385",
"Burkina Faso","BFA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.61339955513","4.35300432287","7.80243989822","4.47847434867","8.6730509797","6.25315860358","5.65500511828","7.29449815007","2.96201437139","8.44632518323","6.52176944828","6.45267475359","6.66935774791","4.04976089787","4.39923009898","5.99278106284","6.98099121046","6.98543803247",
"Burundi","BDI","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.05580710931","4.44651941891","-1.22372795924","4.83365776165","0.90000000286","5.38465739821","4.78583195089","5.04811878328","3.468425425","3.78590254312","4.19162568095","4.01936552951","4.59405421823","4.66091818447","-2.29961582008","3.48286200246","4.77834319017","4.76989366472",
